Timestamp,mean_temp_cor,year,month,day,timestep
2001-12-02,-7.400000095367432,2001,12,2,335
2001-12-03,-2.6000001430511475,2001,12,3,336
2001-12-04,-8.100000381469727,2001,12,4,337
2001-12-05,-7.0,2001,12,5,338
2001-12-06,-9.199999809265137,2001,12,6,339
2001-12-07,-11.199999809265137,2001,12,7,340
2001-12-08,-9.100000381469727,2001,12,8,341
2001-12-09,-5.0,2001,12,9,342
2001-12-10,1.0,2001,12,10,343
2001-12-11,-0.5,2001,12,11,344
2001-12-12,-3.9000000953674316,2001,12,12,345
2001-12-13,-12.90000057220459,2001,12,13,346
2001-12-14,-0.699999988079071,2001,12,14,347
2001-12-15,-1.399999976158142,2001,12,15,348
2001-12-16,-4.200000286102295,2001,12,16,349
2001-12-17,-0.5,2001,12,17,350
2001-12-18,-2.799999952316284,2001,12,18,351
2001-12-19,-0.5,2001,12,19,352
2001-12-20,-5.5,2001,12,20,353
2001-12-21,-6.5,2001,12,21,354
2001-12-22,-5.599999904632568,2001,12,22,355
2001-12-23,-14.100000381469727,2001,12,23,356
2001-12-24,-19.200000762939453,2001,12,24,357
2001-12-25,-7.900000095367432,2001,12,25,358
2001-12-26,-0.699999988079071,2001,12,26,359
2001-12-27,-2.0,2001,12,27,360
2001-12-28,-3.1000001430511475,2001,12,28,361
2001-12-29,-2.700000047683716,2001,12,29,362
2001-12-30,-4.300000190734863,2001,12,30,363
2001-12-31,-6.099999904632568,2001,12,31,364
2002-01-01,-8.800000190734863,2002,1,1,365
2002-01-02,-11.5,2002,1,2,366
2002-01-03,-16.899999618530273,2002,1,3,367
2002-01-04,-3.200000047683716,2002,1,4,368
2002-01-05,0.9000000357627869,2002,1,5,369
2002-01-06,-0.10000000149011612,2002,1,6,370
2002-01-07,-3.299999952316284,2002,1,7,371
2002-01-08,0.699999988079071,2002,1,8,372
2002-01-09,1.600000023841858,2002,1,9,373
2002-01-10,1.0,2002,1,10,374
2002-01-11,2.4000000953674316,2002,1,11,375
2002-01-12,1.0,2002,1,12,376
2002-01-13,1.3000000715255737,2002,1,13,377
2002-01-14,1.600000023841858,2002,1,14,378
2002-01-15,0.800000011920929,2002,1,15,379
2002-01-16,-3.1000001430511475,2002,1,16,380
2002-01-17,-2.200000047683716,2002,1,17,381
2002-01-18,0.6000000238418579,2002,1,18,382
2002-01-19,-0.5,2002,1,19,383
2002-01-20,1.2000000476837158,2002,1,20,384
2002-01-21,1.600000023841858,2002,1,21,385
2002-01-22,1.8000000715255737,2002,1,22,386
2002-01-23,3.9000000953674316,2002,1,23,387
2002-01-24,2.1000001430511475,2002,1,24,388
2002-01-25,1.399999976158142,2002,1,25,389
2002-01-26,-1.2000000476837158,2002,1,26,390
2002-01-27,-0.30000001192092896,2002,1,27,391
2002-01-28,-3.799999952316284,2002,1,28,392
2002-01-29,3.200000047683716,2002,1,29,393
2002-01-30,-0.800000011920929,2002,1,30,394
2002-01-31,-1.2000000476837158,2002,1,31,395
2002-02-01,-1.5,2002,2,1,396
2002-02-02,3.799999952316284,2002,2,2,397
2002-02-03,6.0,2002,2,3,398
2002-02-04,3.200000047683716,2002,2,4,399
2002-02-05,4.800000190734863,2002,2,5,400
2002-02-06,5.400000095367432,2002,2,6,401
2002-02-07,4.800000190734863,2002,2,7,402
2002-02-08,3.799999952316284,2002,2,8,403
2002-02-09,4.099999904632568,2002,2,9,404
2002-02-10,5.900000095367432,2002,2,10,405
2002-02-11,3.9000000953674316,2002,2,11,406
2002-02-12,4.599999904632568,2002,2,12,407
2002-02-13,0.20000000298023224,2002,2,13,408
2002-02-14,-0.699999988079071,2002,2,14,409
2002-02-15,-0.30000001192092896,2002,2,15,410
2002-02-16,2.200000047683716,2002,2,16,411
2002-02-17,3.1000001430511475,2002,2,17,412
2002-02-18,1.399999976158142,2002,2,18,413
2002-02-19,2.200000047683716,2002,2,19,414
2002-02-20,-1.899999976158142,2002,2,20,415
2002-02-21,-6.900000095367432,2002,2,21,416
2002-02-22,-6.400000095367432,2002,2,22,417
2002-02-23,-0.800000011920929,2002,2,23,418
2002-02-24,0.5,2002,2,24,419
2002-02-25,-2.0,2002,2,25,420
2002-02-26,-2.5,2002,2,26,421
2002-02-27,2.200000047683716,2002,2,27,422
2002-02-28,2.5,2002,2,28,423
2002-03-01,1.3000000715255737,2002,3,1,424
2002-03-02,-0.10000000149011612,2002,3,2,425
2002-03-03,-0.4000000059604645,2002,3,3,426
2002-03-04,0.10000000149011612,2002,3,4,427
2002-03-05,4.200000286102295,2002,3,5,428
2002-03-06,3.299999952316284,2002,3,6,429
2002-03-07,2.700000047683716,2002,3,7,430
2002-03-08,0.10000000149011612,2002,3,8,431
2002-03-09,2.1000001430511475,2002,3,9,432
